Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-CF-A1HS-01A-11D-A13W-08	4.69956929923838	0	25.675742186382	0	0	5.05328793608836	0	0	0	17.4119664396355	6.48981170058948	13.0720732472345	137.302214628903	0	10.9745355564798	0	0	0	0	0	0	6.11833773668672	0	3.69565224769082	0	0	0	3.66685608410071	0	0
TCGA-CF-A27C-01A-11D-A16O-08	16.2063827212538	16.7006036583135	0	0	0	7.77154274364271	10.35519366317	0	0	0	0	0	75.8259198832189	0	2.98321261916376	5.00638100412461	0.531617039974152	0	4.21648106512121	0	0	0.0343660788636529	0	0	0	0	0.0427751756356617	0	0	0
TCGA-CF-A3MG-01A-11D-A20D-08	26.2867615700079	17.6353429390026	0	0	0	0	13.335605760193	0	0	1.6835428496962	0	0	65.2191929478359	0	0	0	0	2.71297529542018	0	0	1.08565589019218	0	0	0	0	4.06156080954543	0	0	0	0
TCGA-CF-A3MH-01A-11D-A20D-08	24.4676521263109	0	0	0	0	0	0	0	0	0	0	0	7.24167574829275	0	11.6461517189147	0	0	0	0	0	0	1.84485910089141	0	0	0	0	0	0	3.31984156493197	0
TCGA-CF-A3MI-01A-11D-A20D-08	36.6743069946702	0.654793356179408	0	0	0	0	0	0	0	3.76637865186731	0	0	18.4011742998379	0	2.88834239779985	0	0	0	0	0	0	0.60284324718457	0	0	0	0.658723799395026	0	5.13908349868107	0	0
TCGA-CF-A47S-01A-11D-A23U-08	13.2930009720793	0.389369434394049	0	0	0	2.48519779395571	0	0	0	0	0	0	0	0	8.91922657548745	0	0	0.95221602906799	0	0	0	0	0	3.53934642581529	0	0	0	0	0	0
TCGA-CF-A47T-01A-11D-A23U-08	10.1639045300252	3.12898765431517	0	0.768564328367869	0	0	1.09482693203168	0	0	3.44514495186983	0	0	1.00541165564501	0	0	0	1.36477966893673	0	0	0	0	0	0	0	0	0	0	0	0	6.05431741450004
TCGA-CF-A47V-01A-11D-A23U-08	16.6427809185713	8.00135710086487	11.3406929622237	0	0	0	11.5673700932684	0	0	0	0	0	20.9457060856338	0	0	0	0.941319080342829	0	0	8.80554419296575	0	0	0	0	0	0	0.175784770977406	0	0	0
TCGA-CF-A47W-01A-11D-A23U-08	6.79786260202698	3.1699634357277	0	0	0	6.0748199884593	0	0	0	2.12213524858414	0	0	0	0	0.785448897850364	1.80683916294162	0	0	0	0	0	0	0	0	0	0	2.28544791196057	0	0	8.92573474107014
TCGA-CF-A47X-01A-31D-A23U-08	54.9499098036527	69.5617247641464	0	0	0	0	46.4090850763077	0	0	12.4455366071681	0	0	120.398906110253	0	0	0	0	0	0	0	0	0.532558896914665	0	14.2235794728197	0	0	0	0	0	0
